date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:18	92612/92612	---M--	200	added ('OK')	image/jpeg	etag:%22169c4-57dc9db23ac80%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/28.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/28.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:21	103525/103525	---M--	200	added ('OK')	image/jpeg	etag:%2219465-57dc9db7f3a00%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/29.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/29.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:30	106559/106559	---M--	200	added ('OK')	image/jpeg	etag:%221a03f-57dc9dbdac780%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/30.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/30.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:30	96131/96131	---M--	200	added ('OK')	image/jpeg	etag:%2217783-57dc9dc365500%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/31.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/31.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:33	94438/94438	---M--	200	added ('OK')	image/jpeg	etag:%22170e6-57dc9dd48fd80%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/32.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/32.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:34	77155/77155	---M--	200	added ('OK')	image/jpeg	etag:%2212d63-57d884fe53940%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/ganador1.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/ganador1.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:46	98199/98199	---M--	200	added ('OK')	image/jpeg	etag:%2217f97-57d886a89e700%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos16.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos16.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:46	75372/75372	---M--	200	added ('OK')	image/jpeg	etag:%221266c-57d88520a8a40%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos2.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:47	97003/97003	---M--	200	added ('OK')	image/jpeg	etag:%2217aeb-57d8851be3f00%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:57	61545/61545	---M--	200	added ('OK')	image/jpeg	etag:%22f069-57d885378c040%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos3.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos3.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:57	58378/58378	---M--	200	added ('OK')	image/jpeg	etag:%22e40a-57d8858a84400%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos4.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos4.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:02	84629/84629	---M--	200	added ('OK')	image/jpeg	etag:%2214a95-57d885cf2e600%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos5.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos5.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:15	111457/111457	---M--	200	added ('OK')	image/jpeg	etag:%221b361-57d885de70a00%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos7.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos7.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:16	117091/117091	---M--	200	added ('OK')	image/jpeg	etag:%221c963-57d885d7c3a40%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos6.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos6.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
